word_one	word_two	surprisal_w_two
hirsch	 apfel	14.972772121429443
tasse	 Löffel	15.708441734313965
Hocker	 sofa	6.355882167816162
spitzer	 Heft	15.300110340118408
trampolin	 Katze	14.932682991027832
hantel	 schläger	17.937543869018555
Hammer	 Bohne	16.855146408081055
Katze	 ziege	17.46421241760254
Triangel	 Orgel	17.360612392425537
Heft	 lineal	11.790608406066895
erdbeere	 seil	13.16294240951538
heft	 zange	14.046620845794678
Klavier	 Ball	11.761567115783691
sessel	 kommode	18.61552667617798
kleid	 hose	7.196138381958008
Seßel	 hirsch	15.397830486297607
Flöte	 Birne	16.415468215942383
topf	 Ananas	12.539860725402832
Fernseher	 drucker	14.589330196380615
Pullover	 schuh	15.958502769470215
Geige	 Geige	16.796146869659424
ball	 Hantel	13.522714932759603
delphin	 delphin	17.79962158203125
fahrrad	 muehle	20.633244514465332
Kleid	 Fabrik	15.888802528381348
flöte	 Flöte	16.781084060668945
computer	 huette	14.626064777374268
ameise	 sofa	5.150749683380127
Muehle	 Bett	8.393108367919922
meßer	 schuessel	19.096984545389812
tisch	 tisch	10.807801723480225
Computer	 Hütte	21.06439272562663
Stift	 Radierer	15.284598668416342
Trommel	 Flöte	16.957884470621746
pfanne	 Pfanne	18.198987007141113
traktor	 Sieb	14.99267053604126
pullover	 Pullover	20.670875549316406
traube	 traube	21.944839477539062
Mühle	 fabrik	16.565320014953613
computer	 handy	11.99697494506836
Schläger	 Ball	8.324296951293945
Meßer	 Schueßel	15.471749305725098
banane	 banane	14.108737468719482
Boot	 Traktor	16.619496663411457
sieb	 taße	14.248114585876465
schuessel	 pfanne	17.124709606170654
Teller	 auge	14.297290802001953
schüßel	 hantel	13.062017122904459
gitarre	 fuss	16.22734832763672
Boot	 boot	4.716876983642578
Brokkoli	 brokkoli	19.244021733601887
flöte	 Floete	16.396727085113525
schläger	 wolf	8.712915420532227
Kommode	 bein	16.93134880065918
Kiwi	 Birne	17.62668800354004
Huette	 Hütte	18.58181095123291
kegel	 Kegel	17.91324742635091
Kirche	 Sessel	16.443279266357422
stuhl	 Bus	16.06444549560547
apfel	 apfel	15.714592456817627
laster	 flieger	12.651873270670572
floete	 Flöte	14.506675084431967
Loeffel	 löffel	15.392396926879883
schuessel	 Schueßel	18.010908842086792
Robbe	 robbe	11.975881576538086
Nagel	 hammer	8.46689510345459
Schaf	 Fahrrad	16.211782773335774
Bauch	 fuss	13.245781898498535
Orange	 Hammer	9.13588809967041
bagger	 bagger	11.948087215423584
Bagger	 orange	8.71127700805664
gurke	 Erbse	14.235571225484213
Orange	 Orange	4.937521934509277
schwein	 glas	11.800171852111816
roller	 fernseher	15.146788597106934
orgel	 Gitarre	16.56195863087972
Sessel	 Kommode	17.919469356536865
finger	 Knie	17.654111862182617
topf	 Meßer	13.785196304321289
Kiwi	 Tisch	13.758041381835938
nagel	 ziege	13.886501789093018
Delphin	 meßer	12.632226943969727
taße	 Taße	14.047115325927734
Triangel	 ameise	20.09767468770345
Tasse	 Loeffel	16.544167200724285
Traktor	 sieb	15.434460163116455
roller	 bus	12.167450904846191
apfel	 Apfel	17.217711448669434
Fernseher	 Fernseher	16.212292353312176
Schüßel	 Hantel	14.542123476664225
Kartoffel	 Schlaeger	24.016026814778645
schueßel	 pfanne	18.27940845489502
Finger	 Traktor	16.674333572387695
Lampe	 Hocker	16.636204719543457
boot	 Boot	8.03903579711914
Schueßel	 pfanne	17.739974975585938
ziege	 ziege	15.307432174682617
ohr	 ohr	10.173177242279053
trompete	 Kiwi	10.774489402770996
Stuhl	 stuhl	15.982849597930908
hammer	 Hammer	6.118643283843994
knie	 robbe	13.175344944000244
tomate	 Tomate	15.32723093032837
Ziege	 Ziege	13.581537882486979
fernseher	 Fernseher	17.047466278076172
katze	 Katze	15.527129650115967
handy	 Radio	9.74176025390625
teller	 Glas	9.253357887268066
hut	 Pullover	15.979459762573242
fernseher	 drucker	15.069236278533936
löffel	 löffel	15.632002194722494
trampolin	 seil	11.43049430847168
gabel	 Kaninchen	13.194657961527506
Orgel	 orgel	16.335604667663574
Spitzer	 Heft	15.064050674438477
Apfel	 Apfel	16.42783498764038
gitarre	 tuba	18.163536071777344
Schüßel	 Schüßel	15.14307951927185
schuessel	 hantel	14.19955571492513
Hut	 tuba	12.461439609527588
schüßel	 pfanne	18.39037847518921
Löffel	 Löffel	16.858234405517578
Schuessel	 schüßel	13.47075891494751
trompete	 Trompete	21.190252939860027
Messer	 Stuhl	13.864844799041748
fabrik	 Schuessel	21.235283533732098
spitzer	 hose	8.317854881286621
boot	 Traktor	15.600595792134603
Kiwi	 kiwi	12.873459815979004
Apfel	 Telefon	9.417248725891113
Mühle	 bett	15.890037536621094
Karotte	 Schuh	16.05810832977295
messer	 Schüssel	20.678759892781574
Traube	 Saege	11.47058359781901
