word_one	word_two	surprisal_w_two
nichte	 Tante	16.247202396392822
Birke	 Esche	16.23038387298584
Kiwi	 Mango	8.04604721069336
Krähe	 rabe	13.923690795898438
Stift	 bleistift	17.100078264872234
Tiger	 Baer	13.829662322998047
küken	 Ferkel	16.492483774820965
laken	 kißenbezug	13.548892855644226
fuß	 Bein	14.110415935516357
Kueken	 vogel	18.193510055541992
Esche	 tanne	13.019006252288818
meer	 Fluß	13.936200141906738
Schrank	 kleiderschrank	21.89644145965576
Guertel	 Kleidung	14.961973826090494
huhn	 Schwein	16.809646606445312
Küken	 huhn	15.48009729385376
kissen	 bettzeug	17.8473695119222
Doktor	 schwester	17.35548496246338
brot	 Butter	5.451869010925293
Karton	 pappkiste	16.313629388809204
kürbis	 Gemüse	16.424936294555664
krähe	 vogel	19.243921279907227
Hocker	 stuhl	18.451714515686035
Nichte	 neffe	17.74906301498413
meer	 Ozean	12.907212893168131
ader	 Körper	13.244258880615234
delfin	 seekuh	14.213902473449707
löwe	 Gepard	18.357327779134113
Messer	 löffel	16.360020955403645
Bier	 Saft	15.854396343231201
vene	 ader	9.97197675704956
Felsen	 stein	14.723351955413818
spinat	 Gemüse	16.029420216878254
Couch	 sofa	5.713494300842285
meissel	 Mörser	12.967390378316244
Weide	 fichte	15.706118106842041
hemd	 Hose	5.683618545532227
adler	 vogel	17.298436641693115
Krähe	 Vogel	18.302327156066895
Wade	 schienbein	14.400484561920166
Spinat	 gemüse	18.104523022969563
Meise	 Fink	12.854855060577393
Schiff	 Motorjacht	17.570624033610027
schädel	 nase	14.328981399536133
Armband	 Kleidung	16.485326766967773
Guertel	 Hosentraeger	17.93924856185913
nebel	 rauch	14.579374313354492
Nonne	 mönch	15.569201787312826
Tuba	 Horn	7.006160259246826
klinik	 station	8.461739540100098
arzt	 Krankenschwester	21.501824378967285
urwald	 regenwald	15.454535802205404
Schinken	 lende	13.4207444190979
Traube	 erdbeere	18.716930389404297
Kirsche	 Pfirsich	20.685523351033527
Quark	 Käse	14.72067387898763
Schinken	 salami	22.96507167816162
meer	 see	7.088066577911377
