word_one	word_two	surprisal_w_two	entropy_w_one
Kette	 Ring	11.894185066223145	na
Ader	 Gefaeß	42.89414596557617	na
Klinik	 Krankenhaus	12.269720077514648	na
Felsen	 Gebirge	14.335201263427734	na
Felsen	 Berg	13.79824161529541	na
Kosmos	 Galaxie	33.679718017578125	na
Schaf	 Hund	14.649177551269531	na
Zange	 Schraubenzieher	25.729290008544922	na
Pflaume	 Erdbeere	37.242279052734375	na
Teich	 See	14.254244804382324	na
Zeh	 Nagel	12.296757698059082	na
Schädel	 Thorax	25.11587905883789	na
Hahn	 Waschbecken	10.624563217163086	na
Meißel	 Moerser	49.728641510009766	na
Saege	 Hammer	10.155041694641113	na
Faust	 Hand	14.978055000305176	na
Kueken	 Hahn	13.31052017211914	na
Felsen	 Gestein	34.841888427734375	na
Kanal	 See	15.669869422912598	na
Magen	 Herz	9.879329681396484	na
Adler	 Geier	35.40583801269531	na
Gurke	 Tomate	26.83757972717285	na
Wade	 Schienbein	33.16910934448242	na
Priester	 Moench	47.23011016845703	na
Tiger	 Katze	9.376696586608887	na
Burg	 Schloss	11.264304161071777	na
Moehre	 Kartoffel	13.485877990722656	na
Kiste	 Schachtel	10.013618469238281	na
Brief	 Paket	10.688589096069336	na
Eisen	 Karbon	44.95728302001953	na
Bier	 Getraenk	54.37348937988281	na
Schinken	 Lende	32.422454833984375	na
Huhn	 Henne	11.176900863647461	na
Eiche	 Pappel	30.97970962524414	na
Jacke	 Hemd	11.564382553100586	na
Quark	 Pudding	32.98430252075195	na
Hagel	 Schnee	12.52918815612793	na
Loewe	 Gazelle	32.599205017089844	na
Kraehe	 Adler	13.849267959594727	na
Strasse	 Fussweg	28.659072875976562	na
Maus	 Kaefer	43.623104095458984	na
Spinat	 Brokkoli	71.9538803100586	na
Kleid	 Blazer	27.152307510375977	na
Hemd	 Krawatte	8.61661148071289	na
Kalb	 Ferkel	48.56873321533203	na
Pfirsich	 Mandarine	59.08439636230469	na
Aufzug	 Fahrstuhl	13.505850791931152	na
Saft	 Mineralwaßer	45.36863327026367	na
Auto	 Motorrad	10.428866386413574	na
Klavier	 Querfloete	46.887962341308594	na
Spinat	 Salat	8.600268363952637	na
Stadt	 Dorf	11.713384628295898	na
Kueche	 Bad	12.106325149536133	na
Mond	 Jupiter	9.472735404968262	na
Kürbis	 Melone	36.011634826660156	na
Hai	 Delfin	11.408864974975586	na
Kosmos	 Planeten	9.872167587280273	na
Taube	 Rotkehlchen	75.01953887939453	na
Auto	 Verkehrsmittel	13.487961769104004	na
Kißen	 Decke	11.427680015563965	na
Stuhl	 Seßel	45.524105072021484	na
Gürtel	 Hose	10.664998054504395	na
Kuerbis	 Melone	36.81882095336914	na
Quark	 Schmand	37.787269592285156	na
Keks	 Gummibärchen	47.22182083129883	na
Arzt	 Doktor	7.048342704772949	na
Fuß	 Faust	8.51819896697998	na
Küche	 Bad	12.300996780395508	na
Arm	 Hand	14.723207473754883	na
Krähe	 Sperling	37.000885009765625	na
Loeffel	 Messer	12.66562271118164	na
Meißel	 Schraubendreher	62.022701263427734	na
Gürtel	 Knopf	12.09848403930664	na
Hocker	 Tisch	9.845017433166504	na
Meißel	 Bohrer	30.740177154541016	na
Wade	 Fuss	15.467508316040039	na
Quark	 Butter	9.031003952026367	na
Brief	 Paeckchen	37.72303009033203	na
Laken	 Kopfkissen	22.791061401367188	na
Geige	 Cello	30.268022537231445	na
Auto	 Flugzeug	12.50272274017334	na
Meise	 Elster	30.93928337097168	na
Klavier	 Kontrabaß	64.67366790771484	na
Arzt	 Pfleger	14.418442726135254	na
Kellner	 Tischler	12.490018844604492	na
Hai	 Rochen	35.992130279541016	na
Hocker	 Seßel	45.419551849365234	na
Tuba	 Floete	33.65046310424805	na
Kürbis	 Aubergine	59.709468841552734	na
Mango	 Kiwi	27.734987258911133	na
Schaefer	 Jaeger	32.23442077636719	na
Armband	 Ring	7.43861722946167	na
Loeffel	 Gabel	11.235821723937988	na
Sofa	 Schrank	10.59144115447998	na
Eiche	 Birke	30.846149444580078	na
Löwe	 Tiger	9.835770606994629	na
Strasse	 Gehweg	12.726897239685059	na
Orgel	 Obö	27.44843864440918	na
Bohrer	 Schlagbohrmaschine	40.87329864501953	na
Fuß	 Bein	9.353843688964844	na
Hemd	 Anzug	8.682784080505371	na
Gurke	 Kartoffel	12.007912635803223	na
Loeffel	 Tasse	8.298818588256836	na
Tischler	 Fliesenleger	29.476642608642578	na
Kissen	 Zudecke	25.300676345825195	na
Schiff	 Motorjacht	46.76423645019531	na
Meise	 Vogel	8.985112190246582	na
Straße	 Bordstein	25.804994583129883	na
Kalb	 Fohlen	35.50924301147461	na
Hafer	 Dinkel	7.530359268188477	na
Kraehe	 Taube	34.16608428955078	na
Zange	 Säge	11.207989692687988	na
Faust	 Finger	11.99065113067627	na
Kißen	 Bettzeug	24.596710205078125	na
Blei	 Kupfer	9.743182182312012	na
Arzt	 Bauarbeiter	29.010854721069336	na
Messer	 Besteck	9.812223434448242	na
Rücken	 Nacken	8.428932189941406	na
Schaedel	 Hals	12.795975685119629	na
Geige	 Kontrabass	56.956119537353516	na
Torte	 Pfannkuchen	52.844276428222656	na
Zwiebel	 Gurke	36.59623718261719	na
Küken	 Vogel	9.962576866149902	na
Paket	 Päckchen	14.419644355773926	na
Kißen	 Bettdecke	27.494226455688477	na
Erbse	 Möhre	42.91979217529297	na
Geige	 Saxofon	53.33255386352539	na
Neffe	 Onkel	9.403667449951172	na
Adler	 Taube	32.63909912109375	na
Stift	 Füller	39.99909973144531	na
Schraube	 Bauteil	14.148640632629395	na
Ferkel	 Kueken	46.33551788330078	na
Laken	 Bettdecke	28.250499725341797	na
Axt	 Säge	10.905981063842773	na
Arzt	 Schwester	8.397323608398438	na
Armband	 Uhr	9.388293266296387	na
Tuba	 Posaune	35.35604476928711	na
Straße	 Fußweg	12.313876152038574	na
Kellner	 Kaßierer	53.3863525390625	na
Klinik	 Psychiatrie	11.443339347839355	na
Hemd	 Schlips	37.96724319458008	na
Wade	 Finger	11.680707931518555	na
Karton	 Pappe	12.808409690856934	na
Schädel	 Wirbelsaeule	66.13699340820312	na
Messer	 Loeffel	49.93685531616211	na
Schädel	 Wirbelsäule	9.439430236816406	na
Gürtel	 Knöpfe	10.944257736206055	na
Esche	 Eibe	24.521438598632812	na
Klavier	 Musikinstrument	28.808162689208984	na
Knie	 Handgelenk	14.837700843811035	na
Schäfer	 Beruf	16.52486801147461	na
Pflaume	 Zwetschge	57.18473815917969	na
Gurke	 Paprika	8.734942436218262	na
Strasse	 Fußweg	12.577024459838867	na
Küche	 Wohnzimmer	6.481152057647705	na
Mönch	 Nonne	36.27716827392578	na
Hai	 Hecht	36.99666976928711	na
Ferkel	 Schwein	15.382619857788086	na
Tiger	 Bär	12.943180084228516	na
Brot	 Broetchen	45.92893600463867	na
Armband	 Kleidung	11.221461296081543	na
Hagel	 Sturm	11.234956741333008	na
Säge	 Hammer	12.151351928710938	na
Lunge	 Herz	10.467694282531738	na
Jeans	 Jogginghose	25.004920959472656	na
Feile	 Säge	12.664778709411621	na
Nebel	 Wetter	13.782036781311035	na
Saft	 Wein	11.518502235412598	na
Schwester	 Bruder	12.496562957763672	na
Traube	 Pflaume	43.67588806152344	na
Zange	 Kneifwerkzeug	53.515071868896484	na
Donner	 Gewitter	12.531572341918945	na
Auge	 Lippe	11.489969253540039	na
Felsen	 Hügel	12.363408088684082	na
Möhre	 Erbse	36.724571228027344	na
Orgel	 Violine	9.619134902954102	na
Zange	 Zollstock	25.674531936645508	na
Niere	 Magen	9.735824584960938	na
Karton	 Schachtel	10.230008125305176	na
Birke	 Eiche	17.303394317626953	na
Schiff	 Auto	13.683306694030762	na
Saege	 Bohrmaschine	31.88027000427246	na
Schäfer	 Mueller	37.57818603515625	na
Heft	 Kalender	12.21945571899414	na
Ferkel	 Küken	36.88209915161133	na
Esche	 Ulme	48.181312561035156	na
Schaefer	 Jäger	11.59829044342041	na
Palast	 Festung	9.910443305969238	na
Krähe	 Elster	30.523141860961914	na
Neffe	 Enkel	12.751775741577148	na
Axt	 Spitzhacke	60.32771301269531	na
Weide	 Alm	8.396270751953125	na
Hai	 Wal	17.959867477416992	na
Zwiebel	 Schalotte	37.450565338134766	na
Urwald	 Wiese	12.65141773223877	na
Meer	 See	11.541301727294922	na
Kueche	 Garderobe	12.267210960388184	na
Tischler	 Maler	9.228849411010742	na
Traube	 Banane	12.224807739257812	na
Schrank	 Regal	9.224849700927734	na
Straße	 Fussgängerweg	45.863555908203125	na
Eisen	 Zinn	18.2332763671875	na
Paket	 Kiste	16.42945671081543	na
Dusche	 Bad	11.026337623596191	na
Kellner	 Barkeeper	32.584754943847656	na
Guertel	 Knoepfe	54.11488342285156	na
Schaedel	 Ohr	11.952312469482422	na
Meise	 Sperber	34.63814926147461	na
Lunge	 Lungenflügel	23.60161781311035	na
Besteck	 Messer	11.786819458007812	na
Kette	 Fahrrad	10.653373718261719	na
Schädel	 Fuß	13.448417663574219	na
Birke	 Esche	34.12911605834961	na
Dorf	 Ort	14.47200870513916	na
Birke	 Baum	18.65898323059082	na
Priester	 Nonne	37.027915954589844	na
Moehre	 Zucchini	11.06570816040039	na
Klavier	 Harfe	40.53474807739258	na
Bohrer	 Vorschlaghammer	31.80490493774414	na
Esche	 Eiche	10.846014976501465	na
Meissel	 Spachtel	41.14781951904297	na
Kleid	 Hemd	8.428406715393066	na
Schinken	 Speck	14.043427467346191	na
Kiste	 Truhe	35.122623443603516	na
Feile	 Zange	32.632476806640625	na
Bohrer	 Meißel	55.36570739746094	na
Zange	 Saege	29.28329086303711	na
Kalb	 Schwein	13.670451164245605	na
Nebel	 Dunst	10.51477336883545	na
Eiche	 Linde	13.980737686157227	na
Wolke	 Sonne	10.95421028137207	na
Erbse	 Moehre	36.764137268066406	na
Spinat	 Möhre	44.53591537475586	na
Auge	 Zahn	10.296087265014648	na
Mango	 Obst	11.634154319763184	na
Kueken	 Ferkel	52.704689025878906	na
Apfel	 Birne	32.915836334228516	na
Saege	 Schraube	7.843756675720215	na
Weide	 Buche	8.759026527404785	na
Wade	 Huefte	50.422000885009766	na
Schaedel	 Armknochen	24.935548782348633	na
Lunge	 Niere	10.7080078125	na
Kiwi	 Apfel	10.80660343170166	na
Guertel	 Knopf	14.502738952636719	na
