word_one	word_two	surprisal_w_two	entropy_w_one
braccio	 inerme	44.16421890258789	na
inverno	 lungo	10.943595886230469	na
pomodoro	 fresco	5.259128093719482	na
mela	 nera	10.570996284484863	na
sedia	 analogica	36.541175842285156	na
folla	 rinsavita	54.436092376708984	na
uva	 marrone	9.949803352355957	na
fragola	 rancida	34.96082305908203	na
romanzo	 giallo	9.59050178527832	na
automobile	 agonistica	12.0503511428833	na
carota	 grassa	30.697887420654297	na
lago	 maggiore	14.388421058654785	na
bottiglia	 verde	9.926220893859863	na
bacio	 passionale	34.96066665649414	na
animale	 adolescente	12.760574340820312	na
albicocca	 secca	9.574570655822754	na
avvocato	 attaccante	39.83966827392578	na
gallina	 vecchia	11.399091720581055	na
automobile	 sportiva	10.585033416748047	na
elefante	 africano	8.719627380371094	na
pianeta	 blu	11.106274604797363	na
gufo	 parlante	39.05878829956055	na
orso	 polare	28.671846389770508	na
denaro	 facile	7.80326509475708	na
ferita	 otturata	43.073150634765625	na
vedova	 bianca	9.713102340698242	na
casco	 beige	24.10858917236328	na
cuore	 aperto	13.360933303833008	na
segretaria	 privata	14.496768951416016	na
scuola	 materna	11.338642120361328	na
arma	 nera	9.782418251037598	na
letto	 temperato	37.16486740112305	na
cane	 infido	38.76060485839844	na
soldato	 semplice	9.160778999328613	na
uniforme	 militare	9.904864311218262	na
famiglia	 semplice	10.699798583984375	na
uova	 stantie	44.34438705444336	na
persona	 aperta	14.275201797485352	na
latte	 paterno	28.650920867919922	na
brezza	 notturna	10.129302024841309	na
denaro	 difficile	12.6056547164917	na
animale	 adulto	6.039085865020752	na
uva	 bianca	9.422361373901367	na
alghe	 fossili	8.985162734985352	na
stella	 rossa	9.587554931640625	na
notte	 opaca	42.91979217529297	na
uova	 fresche	36.783687591552734	na
formaggio	 fresco	8.574197769165039	na
sorriso	 diabolico	57.226463317871094	na
pelle	 sensibile	14.576234817504883	na
poltrona	 vuota	10.913833618164062	na
orso	 tropicale	8.849100112915039	na
scatola	 fatata	29.125932693481445	na
alghe	 marine	9.313824653625488	na
inverno	 lento	12.47628116607666	na
latte	 materno	10.640327453613281	na
sale	 grosso	11.043536186218262	na
gufo	 muto	12.136712074279785	na
bottiglia	 ocra	26.788822174072266	na
fiamma	 viva	11.815119743347168	na
melanzana	 gialla	11.326285362243652	na
arma	 vincente	12.21326732635498	na
limone	 giallo	9.140116691589355	na
letto	 caldo	10.01540756225586	na
poltrona	 piena	12.21747875213623	na
erba	 rossa	10.682048797607422	na
limone	 blu	11.548617362976074	na
soldato	 complesso	10.55200481414795	na
elefante	 europeo	11.542255401611328	na
brezza	 diurna	44.204158782958984	na
denaro	 sporco	10.944968223571777	na
torre	 moderna	12.188989639282227	na
pianeta	 rosso	11.47116756439209	na
melanzana	 viola	7.823501110076904	na
cavallo	 pazzo	8.925732612609863	na
cane	 fedele	10.616562843322754	na
caverna	 buia	34.13051986694336	na
fiamma	 pigra	33.86543655395508	na
piccione	 verde	9.59506893157959	na
oca	 bianca	9.309407234191895	na
scuola	 paterna	14.177961349487305	na
cenere	 gialla	12.802525520324707	na
principe	 azzurro	10.397515296936035	na
cuore	 solitario	13.275778770446777	na
vedova	 nera	10.015564918518066	na
ghiaccio	 snello	33.60411071777344	na
bandiera	 bianca	10.573861122131348	na
arma	 bianca	10.174442291259766	na
pecora	 nera	10.768145561218262	na
arma	 perdente	34.33518600463867	na
fumo	 pulito	11.502083778381348	na
latte	 diviso	14.46085262298584	na
specchio	 muto	12.307677268981934	na
pera	 corta	12.413101196289062	na
formaggio	 fiacco	33.41706848144531	na
erba	 secca	10.49301815032959	na
cavallo	 razionale	11.484482765197754	na
bacio	 distaccato	37.094356536865234	na
notte	 superficiale	13.726624488830566	na
braccio	 armato	8.728219032287598	na
fragola	 fresca	6.52297830581665	na
quercia	 stretta	11.564867973327637	na
stella	 verde	9.79464054107666	na
mela	 gialla	11.469917297363281	na
peperone	 giallo	8.928455352783203	na
stazione	 centrale	12.082254409790039	na
braccio	 calmo	40.22433853149414	na
limone	 rosso	9.578373908996582	na
fumo	 nero	10.767237663269043	na
peperone	 rosso	9.328001976013184	na
cuore	 matto	23.641393661499023	na
peperone	 ocra	25.046249389648438	na
sorriso	 divertito	41.49455642700195	na
sale	 sottile	11.148447036743164	na
sedia	 elettrica	8.401262283325195	na
albicocca	 viola	8.99180793762207	na
arancia	 salata	35.059452056884766	na
sorriso	 depresso	31.27311134338379	na
ferro	 caldo	9.446638107299805	na
avvocato	 difensore	8.958566665649414	na
zucchero	 amaro	10.025533676147461	na
torre	 medievale	10.343239784240723	na
banana	 rosa	9.535935401916504	na
peperone	 cremisi	59.663883209228516	na
gallina	 giovane	11.176396369934082	na
scatola	 magica	11.993270874023438	na
mela	 rossa	9.792951583862305	na
cuore	 affollato	45.69269561767578	na
pomodoro	 rancido	39.75743865966797	na
sole	 caldo	9.114991188049316	na
stazione	 laterale	9.114624977111816	na
cuore	 logico	12.481386184692383	na
sole	 freddo	10.748029708862305	na
ferita	 aperta	11.110285758972168	na
orso	 sazio	30.26283073425293	na
barba	 lunga	9.721969604492188	na
investigatore	 pubblico	13.577230453491211	na
zucchero	 dolce	9.160959243774414	na
bistecca	 bassa	12.116374969482422	na
orso	 affamato	49.31144714355469	na
