word_one	word_two	surprisal_w_two	entropy_w_one
gallina	 giovane	8.820473670959473	na
zucchero	 amaro	40.11376953125	na
scuola	 materna	38.966854095458984	na
sole	 caldo	7.363288879394531	na
cavallo	 pazzo	28.977394104003906	na
limone	 blu	10.980039596557617	na
arma	 bianca	7.725546836853027	na
arancia	 salata	10.794059753417969	na
arma	 perdente	30.0669002532959	na
braccio	 inerme	53.94293975830078	na
cenere	 gialla	33.880516052246094	na
banana	 rosa	9.531438827514648	na
melanzana	 viola	10.717714309692383	na
soldato	 semplice	11.314208984375	na
orso	 polare	22.65926170349121	na
pianeta	 rosso	9.633808135986328	na
avvocato	 attaccante	27.973726272583008	na
bandiera	 bianca	7.124366283416748	na
vedova	 bianca	8.969049453735352	na
sedia	 elettrica	6.799661636352539	na
stazione	 laterale	33.69511032104492	na
latte	 diviso	26.775983810424805	na
limone	 rosso	8.820006370544434	na
cane	 infido	29.744291305541992	na
automobile	 sportiva	28.93770408630371	na
pomodoro	 rancido	35.19892120361328	na
notte	 opaca	38.58628463745117	na
sole	 freddo	28.597272872924805	na
investigatore	 pubblico	11.948966026306152	na
formaggio	 fresco	7.313292503356934	na
brezza	 diurna	41.602996826171875	na
pianeta	 blu	7.328087329864502	na
bacio	 passionale	32.56690216064453	na
caverna	 buia	24.86626434326172	na
uva	 bianca	8.355145454406738	na
fumo	 nero	8.961030006408691	na
soldato	 complesso	10.229722023010254	na
casco	 beige	8.221660614013672	na
stazione	 centrale	7.711551666259766	na
alghe	 marine	8.289177894592285	na
limone	 giallo	10.314918518066406	na
albicocca	 viola	8.921048164367676	na
denaro	 difficile	12.370774269104004	na
notte	 superficiale	29.55840301513672	na
segretaria	 privata	9.643621444702148	na
sorriso	 divertito	30.672897338867188	na
melanzana	 gialla	25.88128662109375	na
lago	 maggiore	11.516845703125	na
cuore	 solitario	29.196182250976562	na
denaro	 facile	7.588024616241455	na
torre	 moderna	8.010645866394043	na
quercia	 stretta	29.57380485534668	na
automobile	 agonistica	45.4748649597168	na
orso	 sazio	20.72795867919922	na
denaro	 sporco	46.5527229309082	na
ferita	 otturata	41.09416198730469	na
uniforme	 militare	6.164310455322266	na
pecora	 nera	8.508341789245605	na
cuore	 matto	33.86634063720703	na
pelle	 sensibile	27.243356704711914	na
famiglia	 semplice	9.87536334991455	na
erba	 rossa	31.59636688232422	na
sorriso	 diabolico	50.45219802856445	na
braccio	 calmo	34.92151641845703	na
principe	 azzurro	44.98019790649414	na
fumo	 pulito	28.642995834350586	na
bottiglia	 verde	7.525983810424805	na
braccio	 armato	39.51591110229492	na
scatola	 magica	28.393068313598633	na
bottiglia	 ocra	27.071849822998047	na
cuore	 logico	35.02951431274414	na
latte	 paterno	29.57933235168457	na
oca	 bianca	8.095603942871094	na
peperone	 rosso	8.088766098022461	na
inverno	 lento	8.781124114990234	na
vedova	 nera	8.229138374328613	na
gufo	 muto	19.86809539794922	na
ghiaccio	 snello	32.234134674072266	na
sale	 sottile	26.31442642211914	na
cuore	 affollato	65.19943237304688	na
fragola	 fresca	6.286879062652588	na
albicocca	 secca	25.626190185546875	na
pera	 corta	7.710186004638672	na
ferita	 aperta	10.230961799621582	na
alghe	 fossili	31.380027770996094	na
animale	 adolescente	5.045698642730713	na
carota	 grassa	26.6047420501709	na
animale	 adulto	5.779210567474365	na
torre	 medievale	20.323732376098633	na
inverno	 lungo	7.925710678100586	na
mela	 gialla	20.065841674804688	na
poltrona	 vuota	20.458648681640625	na
sale	 grosso	10.416878700256348	na
poltrona	 piena	8.999948501586914	na
uova	 stantie	23.9514217376709	na
gufo	 parlante	22.13520622253418	na
specchio	 muto	26.65892219543457	na
latte	 materno	27.68585205078125	na
fiamma	 viva	10.622079849243164	na
bacio	 distaccato	43.55970001220703	na
letto	 caldo	8.876848220825195	na
fiamma	 pigra	23.427452087402344	na
sedia	 analogica	35.5252685546875	na
stella	 verde	8.63968276977539	na
romanzo	 giallo	9.360784530639648	na
gallina	 vecchia	31.565271377563477	na
zucchero	 dolce	8.769041061401367	na
barba	 lunga	5.999776840209961	na
letto	 temperato	35.08415603637695	na
mela	 rossa	27.792741775512695	na
avvocato	 difensore	44.277610778808594	na
formaggio	 fiacco	32.800682067871094	na
arma	 nera	9.00224781036377	na
peperone	 ocra	24.73560333251953	na
ferro	 caldo	7.189934253692627	na
mela	 nera	10.304228782653809	na
persona	 aperta	10.503936767578125	na
sorriso	 depresso	39.32472610473633	na
stella	 rossa	25.928071975708008	na
erba	 secca	25.988130569458008	na
piccione	 verde	8.086954116821289	na
peperone	 giallo	9.867081642150879	na
uva	 marrone	30.925813674926758	na
peperone	 cremisi	37.14802932739258	na
cuore	 aperto	11.336379051208496	na
orso	 affamato	50.604610443115234	na
scatola	 fatata	25.02489471435547	na
cavallo	 razionale	29.184812545776367	na
bistecca	 bassa	11.06265640258789	na
orso	 tropicale	22.035451889038086	na
arma	 vincente	31.983713150024414	na
fragola	 rancida	28.579544067382812	na
uova	 fresche	25.480587005615234	na
elefante	 europeo	9.046194076538086	na
folla	 rinsavita	37.02995300292969	na
scuola	 paterna	39.55463409423828	na
elefante	 africano	27.897188186645508	na
pomodoro	 fresco	6.954591751098633	na
cane	 fedele	22.718053817749023	na
brezza	 notturna	27.191503524780273	na
