word_one	word_two	surprisal_w_two	entropy_w_one
torre	 medievale	57.46017837524414	na
fragola	 fresca	39.810848236083984	na
braccio	 inerme	44.699493408203125	na
erba	 secca	35.3970947265625	na
orso	 polare	36.85438919067383	na
cane	 fedele	32.04441833496094	na
bandiera	 bianca	39.567317962646484	na
arancia	 salata	34.11766815185547	na
elefante	 africano	65.52976989746094	na
lago	 maggiore	72.22981262207031	na
ferita	 aperta	29.14559555053711	na
bottiglia	 verde	10.269331932067871	na
denaro	 sporco	36.413673400878906	na
inverno	 lento	34.15726089477539	na
mela	 rossa	36.421016693115234	na
formaggio	 fresco	42.19937515258789	na
banana	 rosa	7.803629398345947	na
latte	 materno	32.83258819580078	na
scuola	 materna	37.46955871582031	na
pelle	 sensibile	28.49433708190918	na
braccio	 calmo	41.10063552856445	na
piccione	 verde	10.140425682067871	na
bistecca	 bassa	30.883207321166992	na
folla	 rinsavita	47.2590217590332	na
quercia	 stretta	43.3880500793457	na
arma	 bianca	36.307151794433594	na
uniforme	 militare	43.030879974365234	na
elefante	 europeo	34.99503707885742	na
cuore	 logico	29.5650634765625	na
latte	 paterno	32.253292083740234	na
limone	 rosso	35.762760162353516	na
animale	 adulto	27.857027053833008	na
oca	 bianca	37.28352737426758	na
melanzana	 viola	36.20759201049805	na
letto	 caldo	41.459373474121094	na
inverno	 lungo	33.930198669433594	na
sole	 freddo	51.86235046386719	na
sorriso	 diabolico	53.24211502075195	na
cenere	 gialla	55.99028015136719	na
peperone	 giallo	57.4765739440918	na
orso	 tropicale	49.22223663330078	na
scatola	 fatata	30.535358428955078	na
uova	 fresche	40.53670120239258	na
fiamma	 pigra	31.378442764282227	na
denaro	 difficile	10.187362670898438	na
notte	 opaca	38.70356369018555	na
carota	 grassa	28.001359939575195	na
pianeta	 blu	30.727643966674805	na
cuore	 matto	37.301734924316406	na
bacio	 distaccato	49.813350677490234	na
uova	 stantie	40.3338737487793	na
sale	 grosso	30.083354949951172	na
sale	 sottile	40.22846221923828	na
orso	 sazio	40.58260726928711	na
braccio	 armato	29.923980712890625	na
stazione	 centrale	46.25575637817383	na
limone	 giallo	53.39830017089844	na
orso	 affamato	57.65815353393555	na
uva	 bianca	33.44029998779297	na
sedia	 analogica	27.290748596191406	na
arma	 perdente	37.70623016357422	na
vedova	 nera	27.191274642944336	na
cane	 infido	33.08799362182617	na
bottiglia	 ocra	36.638511657714844	na
poltrona	 vuota	45.57567596435547	na
brezza	 notturna	51.783477783203125	na
albicocca	 viola	34.33441162109375	na
soldato	 complesso	61.607032775878906	na
automobile	 agonistica	34.9288444519043	na
melanzana	 gialla	61.53797912597656	na
caverna	 buia	30.36827278137207	na
brezza	 diurna	51.319725036621094	na
ghiaccio	 snello	28.442943572998047	na
pomodoro	 rancido	41.329654693603516	na
uva	 marrone	45.30961990356445	na
pera	 corta	31.331445693969727	na
casco	 beige	9.41067886352539	na
stella	 verde	11.511914253234863	na
poltrona	 piena	33.6567268371582	na
specchio	 muto	32.85457992553711	na
fumo	 nero	26.57528305053711	na
mela	 gialla	50.63336181640625	na
pecora	 nera	30.132707595825195	na
sorriso	 divertito	39.382362365722656	na
avvocato	 difensore	62.04139709472656	na
persona	 aperta	31.944246292114258	na
barba	 lunga	29.4804630279541	na
pomodoro	 fresco	39.51513671875	na
cuore	 aperto	40.168827056884766	na
cuore	 solitario	51.57997512817383	na
soldato	 semplice	50.76334762573242	na
arma	 vincente	30.905412673950195	na
stazione	 laterale	40.891517639160156	na
scatola	 magica	35.748992919921875	na
gufo	 muto	27.396203994750977	na
sole	 caldo	35.019554138183594	na
cavallo	 razionale	39.937496185302734	na
peperone	 ocra	35.883399963378906	na
fragola	 rancida	49.955142974853516	na
zucchero	 dolce	32.70977783203125	na
stella	 rossa	41.81548309326172	na
scuola	 paterna	38.83754348754883	na
peperone	 cremisi	36.48301315307617	na
animale	 adolescente	9.840843200683594	na
alghe	 fossili	44.34645080566406	na
ferita	 otturata	45.23660659790039	na
sedia	 elettrica	70.59119415283203	na
cavallo	 pazzo	30.617420196533203	na
denaro	 facile	8.807016372680664	na
arma	 nera	27.260961532592773	na
mela	 nera	26.18742561340332	na
bacio	 passionale	28.3444881439209	na
notte	 superficiale	56.89856719970703	na
albicocca	 secca	30.404598236083984	na
erba	 rossa	39.68048095703125	na
latte	 diviso	29.896726608276367	na
avvocato	 attaccante	48.6495475769043	na
pianeta	 rosso	33.12500762939453	na
ferro	 caldo	31.751638412475586	na
torre	 moderna	29.253686904907227	na
formaggio	 fiacco	37.685279846191406	na
principe	 azzurro	63.560760498046875	na
zucchero	 amaro	40.5706787109375	na
sorriso	 depresso	33.34223556518555	na
gallina	 giovane	46.4807243347168	na
gallina	 vecchia	47.69716262817383	na
investigatore	 pubblico	51.12775802612305	na
fumo	 pulito	34.74510192871094	na
peperone	 rosso	40.44145584106445	na
fiamma	 viva	25.691659927368164	na
cuore	 affollato	65.84278869628906	na
segretaria	 privata	41.79398727416992	na
vedova	 bianca	37.70282745361328	na
alghe	 marine	9.556498527526855	na
limone	 blu	31.715333938598633	na
romanzo	 giallo	62.089969635009766	na
gufo	 parlante	41.51947021484375	na
automobile	 sportiva	28.78592872619629	na
letto	 temperato	41.997802734375	na
famiglia	 semplice	54.259193420410156	na
