word_one	word_two	surprisal_w_two	entropy_w_one
fragrante	 purpureo	73.0242691040039	na
appetitoso	 acido	6.416909694671631	na
alcolico	 annerito	47.11739730834961	na
colorato	 fosforescente	57.9186897277832	na
fresco	 viola	8.599532127380371	na
euristico	 risplendente	62.20562744140625	na
fosforescente	 rosso	9.185096740722656	na
accecante	 tremendo	34.44806671142578	na
piagnucolante	 aromatico	42.89799118041992	na
ragionato	 incolore	31.768125534057617	na
bollente	 appetitoso	46.484283447265625	na
piagnucolante	 arancione	14.050673484802246	na
clamoroso	 castano	39.565284729003906	na
smagliante	 rilucente	56.98609924316406	na
viola	 acerbo	48.899574279785156	na
verde	 acido	9.80715560913086	na
ingrigito	 fetido	47.50360870361328	na
fresco	 ammorbante	59.110313415527344	na
geniale	 astratto	7.935877799987793	na
trascendente	 fucsia	47.572486877441406	na
acerbo	 rancido	38.1249885559082	na
fetido	 smagliante	53.6020622253418	na
amorale	 brillante	11.54804515838623	na
curioso	 olivastro	28.51148223876953	na
fiammeggiante	 delizioso	42.91515350341797	na
appiccicoso	 meditato	38.78181076049805	na
acido	 ponderato	46.0346794128418	na
ammorbante	 viola	9.231772422790527	na
viola	 saporito	46.72236251831055	na
clamoroso	 bianco	10.155801773071289	na
puro	 soave	36.67185974121094	na
colorato	 aromatico	44.67823028564453	na
logico	 azzurro	11.495784759521484	na
tremendo	 logico	12.651280403137207	na
mentale	 ingrigito	48.51686477661133	na
fetido	 ponderato	38.44699478149414	na
vero	 appetitoso	47.08302688598633	na
concettuale	 cromatico	35.54722595214844	na
ingrigito	 confuso	15.755773544311523	na
delizioso	 piccante	32.0432243347168	na
clamoroso	 geniale	11.305996894836426	na
purpureo	 mentale	10.98966121673584	na
astratto	 smagliante	60.73298263549805	na
fresco	 curioso	12.700349807739258	na
caldo	 incolore	32.296268463134766	na
smagliante	 piagnucolante	91.1829833984375	na
fragrante	 viola	10.335973739624023	na
vago	 fruttato	41.000308990478516	na
curativo	 nitido	54.87797546386719	na
verde	 viola	6.4800615310668945	na
luccicante	 fragrante	33.77458190917969	na
rovente	 vellutato	59.952430725097656	na
elusivo	 accecante	38.016639709472656	na
sanguinante	 saporito	47.03617858886719	na
atipico	 simmetrico	46.168304443359375	na
purpureo	 clamoroso	12.071735382080078	na
grigio	 nitido	52.11467361450195	na
fucsia	 acido	12.194087028503418	na
vero	 ammorbante	60.67928695678711	na
corretto	 vago	25.969709396362305	na
apatico	 fresco	7.142298221588135	na
azzurro	 fetido	51.69889831542969	na
piagnucolante	 teoretico	36.86256408691406	na
lieve	 esitante	40.719913482666016	na
nitido	 ingrigito	49.93984603881836	na
corretto	 stucchevole	47.27397537231445	na
trascendente	 logico	10.176766395568848	na
curioso	 ammorbante	59.952938079833984	na
amaranto	 olivastro	23.476015090942383	na
amaranto	 purpureo	75.00160217285156	na
trascendente	 inconscio	44.91631317138672	na
equo	 ponderato	45.65606689453125	na
aromatico	 astratto	9.21162223815918	na
vellutato	 nero	8.950093269348145	na
ingrigito	 puro	10.91454029083252	na
soave	 fluorescente	72.95204162597656	na
piccante	 accecante	43.38930892944336	na
astratto	 cromatico	35.31132125854492	na
variopinto	 illusorio	42.20142364501953	na
mistico	 meditato	39.54133605957031	na
corretto	 fiammeggiante	28.729001998901367	na
variopinto	 vero	12.394991874694824	na
mielato	 fresco	5.970512390136719	na
fragrante	 vellutato	58.80030059814453	na
rosso	 amaranto	35.70199966430664	na
delizioso	 clamoroso	10.774640083312988	na
mielato	 logico	10.674527168273926	na
rosso	 simmetrico	48.53879928588867	na
olivastro	 caramellato	74.11164855957031	na
rovente	 rosa	7.238027572631836	na
deforme	 rancido	36.929168701171875	na
tremendo	 smagliante	58.205726623535156	na
urticante	 monocolore	40.08317947387695	na
fantasioso	 cromatico	35.19502258300781	na
verde	 colorato	40.03440856933594	na
fiammeggiante	 abbagliante	65.74170684814453	na
delizioso	 acido	7.24129056930542	na
illusorio	 smagliante	61.1191520690918	na
simmetrico	 ponderato	46.00788116455078	na
astringente	 geniale	11.553388595581055	na
ponderato	 fresco	4.101775169372559	na
aspro	 giallo	8.588581085205078	na
variopinto	 luccicante	51.06342697143555	na
marrone	 verde	9.687972068786621	na
apatico	 monocromatico	54.83641815185547	na
appiccicoso	 scarlatto	54.173500061035156	na
sanguinante	 sferico	51.055233001708984	na
fantasioso	 meditato	43.46830749511719	na
indaco	 ingrigito	51.36965560913086	na
vago	 trascendente	43.17747497558594	na
incolore	 dolce	10.148083686828613	na
meditato	 fosforescente	60.256011962890625	na
astratto	 soave	33.96539306640625	na
aspro	 pepato	34.79444122314453	na
