word_one	word_two	surprisal_w_two	entropy_w_one
Meßer	 Loeffel	49.94055938720703	na
Schraubenschlüßel	 Bohrer	32.616455078125	na
Pferd	 Zange	32.645633697509766	na
Besen	 Loeffel	46.60676193237305	na
Spatel	 Löffel	18.508211135864258	na
Loewe	 Wolf	13.187920570373535	na
Ente	 Alligator	41.73563766479492	na
Schraubenschlueßel	 Giraffe	36.2890625	na
Schraubenschlüßel	 Säge	11.882408142089844	na
Löwe	 Saege	33.96688461303711	na
Adler	 Katze	11.73634147644043	na
Schraubenschlüssel	 Messer	10.263269424438477	na
Rechen	 Meßer	35.62159729003906	na
Alligator	 Schere	15.974919319152832	na
Kamm	 Schaufel	34.88753890991211	na
Stier	 Beil	17.586483001708984	na
Schraubenschluessel	 Meißel	52.59416580200195	na
Giraffe	 Rechen	17.962820053100586	na
Löwe	 Pinzette	45.12932586669922	na
Bleistift	 Schraubenschlüßel	77.17090606689453	na
Säge	 Pinzette	47.29750061035156	na
Gabel	 Ente	12.50405216217041	na
Fuchs	 Tiger	9.601045608520508	na
Elefant	 Löffel	13.941575050354004	na
Gabel	 Schaf	19.485164642333984	na
Bleistift	 Bär	14.098731994628906	na
Bohrer	 Katze	10.510125160217285	na
Kaninchen	 Bleistift	10.255735397338867	na
Elefant	 Pistole	9.326521873474121	na
Tiger	 Axt	33.028011322021484	na
Delfin	 Tiger	10.50882625579834	na
Schere	 Stier	11.283361434936523	na
Gabel	 Meißel	60.24430465698242	na
Elefant	 Kuh	11.583137512207031	na
Stier	 Kuh	14.723153114318848	na
Spatel	 Meißel	65.41474914550781	na
Messer	 Delfin	11.943676948547363	na
Katze	 Schraubenschluessel	63.228939056396484	na
Axt	 Adler	10.448897361755371	na
Gabel	 Hund	17.291494369506836	na
Meißel	 Besen	12.465970993041992	na
Kamel	 Besen	14.131916046142578	na
Säge	 Hund	12.488423347473145	na
Loeffel	 Kelle	36.77080535888672	na
Kamm	 Bleistift	9.014997482299805	na
Schwein	 Baer	25.186983108520508	na
Delfin	 Giraffe	35.203067779541016	na
Fuchs	 Schere	14.937479019165039	na
Pferd	 Meßer	33.706573486328125	na
Bohrer	 Hund	13.486201286315918	na
Ente	 Spatel	26.055219650268555	na
Meißel	 Alligator	40.132850646972656	na
Schaufel	 Wolf	13.142318725585938	na
Kamel	 Hund	13.206318855285645	na
Gabel	 Löwe	18.998769760131836	na
Messer	 Loewe	45.679874420166016	na
Pfanne	 Schraubenschlüssel	21.94497299194336	na
Pinzette	 Gepard	48.523712158203125	na
Kamm	 Bär	12.950417518615723	na
Pferd	 Messer	12.029175758361816	na
Ente	 Säge	11.627379417419434	na
Fuchs	 Pistole	10.097177505493164	na
Delfin	 Pferd	14.619845390319824	na
Schaf	 Pfanne	11.927508354187012	na
Katze	 Schaufel	41.31464385986328	na
Zange	 Katze	9.181475639343262	na
Schaf	 Baer	29.846982955932617	na
Giraffe	 Delfin	12.126569747924805	na
Schaufel	 Schaf	11.120381355285645	na
Elefant	 Löwe	10.226092338562012	na
Baer	 Schwein	10.197541236877441	na
Säge	 Hammer	12.151351928710938	na
Eichhoernchen	 Stift	12.36297607421875	na
Pfanne	 Hammer	13.100509643554688	na
Adler	 Stift	11.326156616210938	na
Saege	 Axt	28.591787338256836	na
Besen	 Fuchs	14.157011985778809	na
Hund	 Pinzette	46.873130798339844	na
Hund	 Stier	9.869032859802246	na
Säge	 Kamm	11.148819923400879	na
Alligator	 Hammer	9.880094528198242	na
Bohrer	 Schaufel	37.89805603027344	na
Kaninchen	 Meißel	53.506797790527344	na
Pistole	 Kamm	10.46030330657959	na
Bohrer	 Zange	31.992372512817383	na
Elefant	 Adler	14.03309440612793	na
Pfanne	 Gepard	48.60977554321289	na
Spatel	 Baer	29.808156967163086	na
Eichhoernchen	 Bär	14.699832916259766	na
