word_one	word_two	surprisal_w_two	entropy_w_one
fumo	 pulito	38.73540115356445	na
barba	 lunga	8.1647310256958	na
stazione	 laterale	29.840707778930664	na
cane	 fedele	26.217336654663086	na
uva	 bianca	9.132311820983887	na
bottiglia	 ocra	27.587472915649414	na
notte	 superficiale	29.758249282836914	na
denaro	 sporco	43.877349853515625	na
elefante	 europeo	8.388404846191406	na
uova	 fresche	29.24974822998047	na
gallina	 vecchia	34.239776611328125	na
stella	 verde	10.228434562683105	na
arancia	 salata	7.354985237121582	na
arma	 nera	8.806511878967285	na
folla	 rinsavita	41.45627975463867	na
cenere	 gialla	36.06858825683594	na
arma	 bianca	11.70226764678955	na
elefante	 africano	29.529714584350586	na
formaggio	 fiacco	34.67633819580078	na
orso	 affamato	58.599422454833984	na
mela	 nera	8.059548377990723	na
pecora	 nera	7.216342926025391	na
animale	 adulto	5.7401628494262695	na
cuore	 solitario	30.96772003173828	na
pianeta	 rosso	9.271263122558594	na
scatola	 magica	29.25906753540039	na
uniforme	 militare	8.125964164733887	na
animale	 adolescente	6.398682117462158	na
casco	 beige	10.690873146057129	na
sedia	 elettrica	5.661890983581543	na
melanzana	 viola	9.99279499053955	na
orso	 sazio	24.573148727416992	na
ferita	 otturata	37.175621032714844	na
latte	 materno	29.530719757080078	na
peperone	 cremisi	37.85558319091797	na
oca	 bianca	9.119029998779297	na
erba	 rossa	33.346675872802734	na
torre	 moderna	8.516911506652832	na
scuola	 paterna	30.115341186523438	na
limone	 rosso	11.387409210205078	na
peperone	 rosso	9.095767974853516	na
pianeta	 blu	7.839722633361816	na
fiamma	 viva	9.916206359863281	na
principe	 azzurro	48.434967041015625	na
bottiglia	 verde	9.4617280960083	na
cavallo	 razionale	30.098154067993164	na
lago	 maggiore	11.454212188720703	na
poltrona	 vuota	33.237300872802734	na
orso	 polare	20.135330200195312	na
banana	 rosa	11.12790584564209	na
investigatore	 pubblico	13.125833511352539	na
mela	 gialla	22.759239196777344	na
alghe	 marine	8.198970794677734	na
melanzana	 gialla	30.306827545166016	na
latte	 paterno	28.125329971313477	na
mela	 rossa	28.308212280273438	na
bacio	 passionale	30.071001052856445	na
persona	 aperta	11.363592147827148	na
pomodoro	 fresco	6.920170307159424	na
erba	 secca	27.271682739257812	na
vedova	 bianca	9.202240943908691	na
scatola	 fatata	25.11594581604004	na
bistecca	 bassa	9.665962219238281	na
peperone	 giallo	9.676971435546875	na
limone	 giallo	11.175164222717285	na
stazione	 centrale	9.669323921203613	na
pelle	 sensibile	31.578948974609375	na
soldato	 complesso	9.972715377807617	na
uova	 stantie	31.524513244628906	na
braccio	 inerme	50.53157424926758	na
gufo	 muto	23.468549728393555	na
avvocato	 attaccante	28.65022850036621	na
cuore	 matto	28.088109970092773	na
romanzo	 giallo	7.636792182922363	na
albicocca	 viola	7.738226890563965	na
specchio	 muto	34.16710662841797	na
brezza	 notturna	31.357332229614258	na
fumo	 nero	7.942338466644287	na
uva	 marrone	31.694503784179688	na
orso	 tropicale	24.072187423706055	na
arma	 perdente	31.383691787719727	na
gallina	 giovane	8.651861190795898	na
bandiera	 bianca	9.467360496520996	na
sorriso	 diabolico	47.8485221862793	na
poltrona	 piena	11.88060474395752	na
piccione	 verde	8.08594036102295	na
formaggio	 fresco	7.213721752166748	na
cavallo	 pazzo	32.486083984375	na
sorriso	 depresso	36.329322814941406	na
fragola	 rancida	37.29312515258789	na
cuore	 aperto	11.356197357177734	na
fragola	 fresca	7.052018165588379	na
ferita	 aperta	10.503718376159668	na
pomodoro	 rancido	43.927616119384766	na
peperone	 ocra	23.592044830322266	na
inverno	 lento	12.554523468017578	na
inverno	 lungo	7.731990337371826	na
albicocca	 secca	29.41136932373047	na
arma	 vincente	30.531946182250977	na
zucchero	 amaro	37.090213775634766	na
gufo	 parlante	25.521888732910156	na
carota	 grassa	30.339780807495117	na
sale	 grosso	9.94332504272461	na
sole	 caldo	6.1627044677734375	na
avvocato	 difensore	48.54875946044922	na
zucchero	 dolce	10.48190689086914	na
famiglia	 semplice	10.730122566223145	na
vedova	 nera	7.915580749511719	na
ghiaccio	 snello	32.08131790161133	na
cuore	 affollato	62.791080474853516	na
ferro	 caldo	9.842306137084961	na
quercia	 stretta	31.185766220092773	na
caverna	 buia	29.901390075683594	na
bacio	 distaccato	46.33234405517578	na
automobile	 sportiva	32.808685302734375	na
denaro	 facile	6.710677146911621	na
segretaria	 privata	8.558815002441406	na
automobile	 agonistica	43.001861572265625	na
braccio	 armato	39.39328384399414	na
letto	 caldo	8.041643142700195	na
notte	 opaca	36.24757766723633	na
limone	 blu	10.890375137329102	na
torre	 medievale	20.976404190063477	na
sorriso	 divertito	33.65007781982422	na
fiamma	 pigra	25.28212547302246	na
pera	 corta	10.246369361877441	na
latte	 diviso	31.979543685913086	na
brezza	 diurna	51.84096908569336	na
braccio	 calmo	32.1140022277832	na
denaro	 difficile	11.431891441345215	na
alghe	 fossili	29.980533599853516	na
sedia	 analogica	30.354032516479492	na
soldato	 semplice	10.7499418258667	na
stella	 rossa	29.325654983520508	na
scuola	 materna	37.33904266357422	na
sale	 sottile	28.21682357788086	na
letto	 temperato	39.91999816894531	na
cane	 infido	29.172414779663086	na
sole	 freddo	31.911502838134766	na
cuore	 logico	30.05482292175293	na
