original	google_translation
accident	Unfall
accordion	Akkordeon
activist	Aktivist
actor	Schauspieler
advantage	Vorteil
advice	Beratung
agreement	Vereinbarung
airport	Flughafen
alligator	Alligator
ambulance	Krankenwagen
analogy	Analogie
anchor	Anker
animosity	Feindseligkeit
ant	Ameise
apartment	Wohnung
apology	Entschuldigung
applause	Beifall
apple	Apfel
apricot	Aprikose
arm	Arm
army	Armee
artist	Künstler
asparagus	Spargel
attribute	Attribut
audience	Publikum
author	Autor
automobile	Automobil
avalanche	Lawine
awe	Scheu
axe	Axt
baboon	Pavian
bagpipe	Dudelsack
ball	Ball
banana	Banane
bang	Knall
banjo	Banjo
banker	Banker
banquet	Bankett
bar	Bar
barbecue	Grill
barge	Lastkahn
baseball	Baseball
bash	Schlag
battle	Schlacht
bay	Bucht
beach	Strand
bean	Bohne
bed	Bett
bee	Biene
beer	Bier
belch	rülpsen
belief	Glauben
bell	Glocke
bellowing	brüllen
bicycle	Fahrrad
binoculars	Fernglas
bird	Vogel
bison	Bison
blizzard	Schneesturm
blueberry	Blaubeere
boat	Boot
bobsled	Bob
bombing	Bombardierung
bonfire	Lagerfeuer
book	Buch
boom	Boom
bottle	Flasche
bowl	Schüssel
boy	Junge
brawl	Schlägerei
bread	Brot
bribe	bestechen
bridge	Brücke
broccoli	Brokkoli
broom	Besen
bugle	Horn
bus	Bus
business	Geschäft
businessman	Geschäftsmann
butterfly	Schmetterling
cab	Taxe
cabbage	Kohl
cabinet	Kabinett
cafeteria	Cafeteria
cake	Kuchen
calculator	Taschenrechner
camel	Kamel
camera	Kamera
candle	Kerze
cane	Stock
canoe	Kanu
car	Auto
cardinal	Kardinal
carnival	Karneval
carriage	Kutsche
carrot	Karotte
cash	Kasse
cat	Katze
caterpillar	Raupe
cathedral	Dom
celebration	Feier
celery	Sellerie
cellphone	Handy
chair	Stuhl
chameleon	Chamäleon
champagne	Sekt
chattering	plappern
cheese	Käse
cheetah	Gepard
cherry	Kirsche
chestnut	Kastanie
chicken	Huhn
child	Kind
chime	Glockenspiel
chimpanzee	Schimpanse
chipmunk	Streifenhörnchen
chocolate	Schokolade
choir	Chor
christening	Taufe
chuckle	Kichern
church	Kirche
cider	Apfelwein
circus	Zirkus
clang	klirren
clapping	klatschen
clarinet	Klarinette
class	Klasse
clattering	klappern
cloud	Wolke
clue	Hinweis
cocktails	Cocktails
coffee	Kaffee
college	Hochschule
comb	Kamm
commander	Kommandant
commemoration	Gedenkfeier
comment	Bemerkung
commentary	Kommentar
company	Unternehmen
complaint	Beschwerde
compliment	Kompliment
computer	Computer
concert	Konzert
conference	Konferenz
contest	Wettbewerb
convention	Konvention
convertible	Cabrio
cookout	Grillparty
corkscrew	Korkenzieher
corn	Mais
cough	Husten
council	Rat
couple	Paar
court	Gericht
cow	Kuh
crackle	Knistern
cranberry	Preiselbeere
crescendo	Crescendo
crib	Krippe
cricket	Kricket
criminal	kriminell
crow	Krähe
cruise	Kreuzfahrt
crutches	Krücken
cucumber	Gurke
curse	Fluch
custard	Vanillesoße
cyclone	Zyklon
dance	tanzen
dandelion	Löwenzahn
day	Tag
debate	Debatte
deceit	Betrug
delirium	Delirium
denial	Verweigerung
deposition	Ablage
desk	Schreibtisch
dice	Würfel
dictation	Diktat
dime	Zehncentstück
dinner	Abendessen
diplomat	Diplomat
discourse	Diskurs
dispute	Disput
doctor	Arzt
dog	Hund
dolphin	Delfin
door	Tür
downpour	Platzregen
dragon	Drache
dread	Furcht
driver	Treiber
drought	Trockenheit
drum	Trommel
duck	Ente
earthquake	Erdbeben
editor	Editor
egg	Ei
eggplant	Aubergine
election	Wahl
elephant	Elefant
elevator	Aufzug
elm	Ulme
embassy	Botschaft
embrace	umarmen
engineer	Ingenieur
envy	Neid
epidemic	Epidemie
era	Epoche
escalator	Rolltreppe
etiquette	Etikette
eulogy	Lobrede
evening	Abend
excuse	Ausrede
expedition	Expedition
explosion	Explosion
expo	Messe
eye	Auge
fair	gerecht
fallacy	Irrtum
family	Familie
famine	Hungersnot
farm	Bauernhof
farmer	Bauer
fate	Schicksal
faucet	Wasserhahn
feast	Fest
feather	Feder
fee	Gebühr
fence	Zaun
ferry	Fähre
festival	Festival
fiddle	Geige
field	Feld
fiesta	Fiesta
finger	Finger
fireworks	Feuerwerk
fish	Fisch
flashlight	Taschenlampe
flood	Flut
flower	Blume
flute	Flöte
folly	Torheit
foot	Fuß
football	Football
forest	Wald
fork	Gabel
fountain	Brunnen
frog	Frosch
fun	Spaß
funeral	Beerdigung
garden	Garten
gasp	keuchen
gathering	Versammlung
giggle	gekicher
girl	Mädchen
glass	Glas
glider	Segelflugzeug
goat	Ziege
goldfish	Goldfisch
gong	Gong
grapes	Trauben
gratitude	Dankbarkeit
greeting	Gruß
grief	Leid
grievance	Klage
groaning	Stöhnen
growling	knurrt
grunt	grunzen
guard	bewachen
guilt	Schuld
gulp	Schluck
gum	Gummi
gunshot	Schuss
gust	Böe
hail	Hagel
hailstorm	Hagelschauer
hair	Haar
hairbrush	Haarbürste
hall	Saal
ham	Schinken
hammer	Hammer
hamster	Hamster
hand	Hand
handsaw	Handsäge
handshake	Händedruck
harmonica	Mundharmonika
harp	Harfe
hawk	Falke
helicopter	Hubschrauber
heredity	Vererbung
heroism	Heldentum
hiccup	Schluckauf
hierarchy	Hierarchie
highway	Autobahn
hippopotamus	Nilpferd
hoe	Hacke
home	Heim
honey	Honig
honeymoon	Flitterwochen
hope	Hoffnung
horse	Pferd
hose	Schlauch
hospital	Krankenhaus
hotel	Hotel
housewarming	Einweihungsparty
huddle	Haufen
hurricane	Hurrikan
hygiene	Hygiene
ice	Eis
inferno	Inferno
infinity	Unendlichkeit
insult	Beleidigung
intellect	Intellekt
interrogation	Verhör
invasion	Invasion
ire	Zorn
iron	Eisen
irony	Ironie
island	Insel
ivy	Efeu
jackal	Schakal
jam	Marmelade
jaw	Kiefer
jealousy	Eifersucht
jeep	Jeep
jingle	klimpern
joke	Scherz
journalist	Journalist
joviality	Jovialität
joy	Freude
jubilee	Jubiläum
judge	Richter
jungle	Dschungel
jury	Jury
ketchup	Ketchup
key	Schlüssel
keyboard	Tastatur
kiss	Kuss
kitchen	Küche
kite	Drachen
knife	Messer
knowledge	Wissen
lab	Labor
ladle	Kelle
lake	See
landslide	Erdrutsch
laughter	Lachen
law	Gesetz
lawyer	Rechtsanwalt
lecture	Vorlesung
leg	Bein
legality	Rechtmäßigkeit
lemonade	Limonade
lesson	Lektion
lightning	Blitz
limousine	limousine
lion	Löwe
lip	Lippe
loan	Darlehen
locomotive	Lokomotive
love	Liebe
luck	Glück
luncheon	Mittagessen
lust	lust
magazine	Zeitschrift
majority	mehrheitlich
malice	Bosheit
man	Mann
mandolin	Mandoline
march	Marsch
matinee	Matinee
mayor	Bürgermeister
medicine	Medizin
meeting	treffen
megaphone	Megaphon
melody	Melodie
mercy	Barmherzigkeit
microscope	Mikroskop
milk	Milch
minister	Minister
mob	Schmerz
monkey	Affe
monsoon	Monsun
moose	Elch
moral	Moral
morning	Morgen
mosquito	Moskito
motive	Motiv
motorcycle	Motorrad
mountain	Berg
mouse	Maus
mouth	Mund
murder	Mord
murmuring	Murmeln
muscle	Muskel
mushroom	Pilz
musical	Musical
mustard	Senf
mystery	Geheimnis
nail	Nagel
nectarine	Nektarine
newspaper	Zeitung
night	Nacht
nose	Nase
noun	Substantiv
number	Nummer
oak	Eiche
octopus	Oktopus
office	Büro
optimism	Optimismus
oration	Ansprache
outbreak	Ausbruch
outing	Ausflug
owl	Eule
pageant	Festzug
pan	Pfanne
parade	Parade
paradox	Paradox
parent	Elternteil
park	Park
party	Party
patent	Patent
patient	geduldig
pea	vielleicht
peace	Frieden
pear	Birne
pen	Stift
pencil	Bleistift
penguin	Pinguin
perjury	Meineid
piano	Klavier
picnic	Picknick
pie	Torte
pig	Schwein
pilot	Pilot
pineapple	Ananas
pipe	Rohr
plague	Pest
plane	Flugzeug
plant	Anlage
plea	Plädoyer
plot	Handlung
plum	Pflaume
policeman	Polizist
politician	Politiker
power	Leistung
prairie	Prärie
praise	Lob
priest	Priester
prison	Gefängnis
problem	Problem
prom	Abschlussball
protest	Protest
pudding	Pudding
pumpkin	Kürbis
quantity	Menge
quarrel	Streit
radish	Rettich
raid	Überfall
rake	Rechen
rally	Rallye
rant	schimpfen
raspberry	Himbeere
reality	Wirklichkeit
rebuke	Verweis
rebuttal	Widerlegung
reception	Rezeption
recitation	Vortrag
reporter	Reporter
restaurant	Restaurant
reunion	Wiedervereinigung
reverberation	Nachhall
rhinoceros	Nashorn
ricochet	abprallen
riot	Aufstand
river	Fluss
roaring	brüllend
rocket	Rakete
role	Rolle
rope	Seil
rose	Rose
rowboat	Ruderboot
ruler	Herrscher
rum	Rum
rumble	Rumpeln
rumor	Gerücht
rustle	rascheln
saddle	Sattel
safari	Safari
sailboat	Segelboot
salmon	Lachs
sandpaper	Sandpapier
sandwich	Sandwich
satire	Satire
sauerkraut	Sauerkraut
saxophone	Saxophon
scale	Skala
school	Schule
scientist	Wissenschaftler
scissors	Schere
scooter	Roller
scream	Schrei
screaming	Geschrei
screech	kreischen
screeching	kreischend
seal	Siegel
semester	Semester
sermon	Predigt
shame	Scham
shelves	Regale
shooting	Schießen
shoulder	Schulter
showdown	Showdown
shrieking	schreiend
sigh	seufzen
sin	Sünde
siren	Sirene
sizzle	brutzeln
skateboard	Skateboard
skillet	Bratpfanne
sled	Schlitten
sleigh	Pferdeschlitten
snail	Schnecke
snake	Schlange
snap	Schnapp
sneeze	niesen
snub	brüskieren
sobbing	Schluchzen
soccer	Fußball
soldier	Soldat
spaghetti	Spaghetti
spatula	Spatel
speech	Rede
spider	Spinne
spoon	Löffel
spring	Frühling
squabble	Zank
squall	Bö
squeaking	quietschen
squeal	quieken
squirrel	Eichhörnchen
stampede	Ansturm
stapler	Hefter
steamer	Dampfer
stethoscope	Stethoskop
stone	Stein
store	speichern
storm	Sturm
straw	Stroh
strawberry	Erdbeere
street	Straße
streetcar	Straßenbahn
student	Student
submarine	U-Boot
subway	U-Bahn
sum	Summe
summer	Sommer
sun	Sonne
sympathy	Sympathie
symphony	Symphonie
table	Tisch
tangerine	Mandarine
tax	Steuer
taxi	Taxi
tea	Tee
teacher	Lehrer
team	Team
television	Fernsehen
tempest	Unwetter
terrorist	Terrorist
testimony	Zeugnis
thanks	Danke
theater	Theater
theme	Thema
theory	Theorie
thermometer	Thermometer
threat	Gefahr
thumping	pochen
thunder	Donner
thunderclap	Donnerschlag
thunderstorm	Gewitter
ticket	Fahrkarte
tiger	Tiger
toaster	Toaster
tobacco	Tabak
toe	Dann
tomato	Tomate
tongs	Zange
torment	quälen
tornado	Tornado
tour	Tour
tourist	Tourist
tournament	Turnier
towel	Handtuch
tractor	Traktor
train	Zug
treaty	Vertrag
tree	Baum
trial	Versuch
tribute	Tribut
tricycle	Dreirad
trolley	Koffer
trombone	Posaune
trout	Forelle
truce	Waffenstillstand
truck	LKW
trumpet	Trompete
trust	Vertrauen
truth	Wahrheit
tuba	Zimmer
tulip	Tulpe
turkey	Truthahn
turtle	Schildkröte
twister	Twister
typewriter	Schreibmaschine
umbrella	Regenschirm
vacation	Urlaub
van	Kastenwagen
verb	Verb
vice	Vize
victim	Opfer
volcano	Vulkan
voter	Wähler
wagon	Wagen
war	Krieg
water	Wasser
wedding	Hochzeit
whale	Wal
wheezing	keuchend
whimpering	wimmernd
whine	jammern
whirlwind	Wirbelwind
whistle	Pfeife
whole	ganz
wildfire	Lauffeuer
window	Fenster
winter	Winter
wisecrack	witzeln
wit	Witz
witness	Zeuge
woe	Kummer
woman	Frau
wonder	Wunder
worker	Arbeiter
worth	Wert
xylophone	Xylophon
year	Jahr
zebra	Zebra
zone	Zone
zoo	Zoo
