word_one	word_two	surprisal_w_two	entropy_w_one
tizio	 patto	15.351325988769531	na
palma	 fauna	12.125529289245605	na
tizio	 folla	9.947543144226074	na
turno	 fuoco	14.695208549499512	na
nonno	 clima	14.558113098144531	na
suolo	 donna	9.270967483520508	na
razzo	 donna	10.658575057983398	na
frase	 paura	9.998515129089355	na
cuore	 treno	11.285843849182129	na
fuoco	 donna	10.228858947753906	na
burro	 pugno	13.126426696777344	na
globo	 notte	8.045018196105957	na
tetto	 festa	10.511617660522461	na
cielo	 miele	10.960315704345703	na
circo	 torta	11.056528091430664	na
bugia	 luogo	12.686871528625488	na
guaio	 burro	10.132616996765137	na
torre	 gente	11.59086799621582	na
patto	 rissa	33.94973373413086	na
erede	 drago	11.33738899230957	na
vizio	 bocca	19.940532684326172	na
pugno	 abete	32.532135009765625	na
odore	 bocca	19.306215286254883	na
patto	 vetta	15.603870391845703	na
palma	 lista	11.57343864440918	na
donna	 colpa	13.16080093383789	na
sonno	 fauna	12.701751708984375	na
nonno	 vento	12.727341651916504	na
tosse	 ragno	31.431222915649414	na
clero	 trono	16.25798797607422	na
picco	 fiume	10.975232124328613	na
erede	 cuore	13.911797523498535	na
furto	 patto	12.972973823547363	na
bocca	 circo	20.53946304321289	na
fuoco	 palco	10.242008209228516	na
odore	 trono	15.950358390808105	na
norma	 furia	15.23454475402832	na
abete	 frate	13.055030822753906	na
vento	 trono	15.943873405456543	na
cuoio	 tizio	30.281776428222656	na
mondo	 burro	10.033473014831543	na
suora	 picco	15.916245460510254	na
bocca	 vetta	15.902255058288574	na
litro	 gatto	8.637969970703125	na
norma	 golfo	17.23238182067871	na
suolo	 trono	15.65186595916748	na
patto	 sedia	8.438702583312988	na
burro	 brodo	8.967585563659668	na
norma	 targa	10.931768417358398	na
circo	 tizio	30.863008499145508	na
latte	 tizio	30.18556022644043	na
nonno	 picco	19.756589889526367	na
vizio	 razzo	29.039697647094727	na
cuore	 vetta	14.045897483825684	na
clima	 pacco	8.736520767211914	na
fauna	 bocca	16.903099060058594	na
frate	 globo	17.08103370666504	na
colpa	 vento	11.822341918945312	na
lutto	 furto	11.140599250793457	na
gente	 testa	14.571338653564453	na
fiume	 fetta	12.782270431518555	na
furia	 fetta	14.29274845123291	na
lutto	 palma	35.75114440917969	na
vetta	 merce	16.47439956665039	na
treno	 spada	14.465205192565918	na
volpe	 razzo	29.613140106201172	na
trono	 litro	9.699030876159668	na
mamma	 capra	25.273317337036133	na
barba	 mondo	13.551891326904297	na
rissa	 libro	10.852405548095703	na
rissa	 clima	13.37174129486084	na
suolo	 drago	11.302205085754395	na
sedia	 verme	28.799942016601562	na
golfo	 tetto	15.492552757263184	na
suolo	 abete	32.18381881713867	na
vizio	 vetta	13.626875877380371	na
verme	 tosse	25.681838989257812	na
polpa	 nonno	12.396648406982422	na
atrio	 norma	13.425189971923828	na
litro	 prato	9.138175010681152	na
tizio	 atrio	20.62310218811035	na
suora	 pugno	14.892736434936523	na
tosse	 furto	10.267499923706055	na
clima	 palco	12.289094924926758	na
spada	 libro	11.112735748291016	na
vetta	 pacco	8.337716102600098	na
fiume	 prosa	14.778589248657227	na
nonno	 suolo	15.70864200592041	na
mondo	 suora	18.199481964111328	na
razzo	 libro	13.260311126708984	na
testa	 mamma	8.910097122192383	na
acqua	 bocca	16.967893600463867	na
odore	 lutto	16.13622283935547	na
testa	 palco	13.371394157409668	na
targa	 prosa	12.256300926208496	na
ladro	 patto	14.597759246826172	na
odore	 gatto	9.559022903442383	na
picco	 lutto	15.350852012634277	na
ponte	 gente	12.80863094329834	na
cuore	 bomba	11.814754486083984	na
ragno	 lusso	10.092239379882812	na
litro	 sedia	12.167440414428711	na
libro	 spada	14.628377914428711	na
scudo	 burro	11.239697456359863	na
suolo	 turno	10.988818168640137	na
lutto	 sedia	12.657478332519531	na
genio	 miele	14.121984481811523	na
festa	 furto	9.836956977844238	na
atrio	 acqua	16.309144973754883	na
pugno	 acqua	10.559371948242188	na
trono	 suora	21.971813201904297	na
furto	 frate	9.779227256774902	na
