word_one	word_two	surprisal_w_two	entropy_w_one
Triangel	 Klavier	20.543872833251953	na
Xylophon	 Hoehle	26.10940170288086	na
Keyboard	 Fluß	37.6112060546875	na
Schlagzeug	 Rochen	21.32002830505371	na
Säge	 Tröte	44.62982177734375	na
Ukulele	 Paket	7.802334785461426	na
Posaune	 Keyboard	7.113535404205322	na
Knarre	 Rassel	26.235187530517578	na
Schlagzeug	 Plakette	25.27318000793457	na
Schlagzeug	 Kaefer	42.753028869628906	na
Klarinette	 Plakette	25.225881576538086	na
Saege	 Ente	23.13994598388672	na
Akkordeon	 Kanone	25.67331314086914	na
Gitarre	 Trompete	46.96768569946289	na
Telefon	 Säge	19.032302856445312	na
Rakete	 Moos	10.557890892028809	na
Kontrabaß	 Plakette	26.968929290771484	na
Baby	 Tanne	26.353946685791016	na
Peitsche	 Paket	11.357998847961426	na
Fön	 Loeffel	28.968442916870117	na
Fön	 Kamm	27.34001922607422	na
Geschütz	 Pavian	25.860654830932617	na
Kontrabass	 Mango	9.230817794799805	na
Handy	 Häcksler	39.19792556762695	na
Ukulele	 Akkordeon	41.870521545410156	na
Bongo	 Schaf	8.8047513961792	na
Böller	 Hornisse	25.429901123046875	na
Tröte	 Dynamit	31.523359298706055	na
Triangel	 Kontrabass	33.96023178100586	na
Troete	 Troete	30.45430564880371	na
Dynamit	 Zigarette	27.604875564575195	na
Peitsche	 Elefant	22.652070999145508	na
Saeugling	 Saege	25.48227310180664	na
Xylophon	 Tandem	27.707748413085938	na
Moped	 Dolch	25.688968658447266	na
Flinte	 Oktopus	27.087093353271484	na
Dusche	 Taube	25.21900749206543	na
Bongo	 Efeu	27.947362899780273	na
Posaune	 Cembalo	29.560327529907227	na
Granate	 Telefon	9.016387939453125	na
Mikrofon	 Triangel	28.66670036315918	na
Granate	 Peitsche	37.91579055786133	na
Keyboard	 Marder	29.17641258239746	na
Ukulele	 Revolver	37.83480453491211	na
Trompete	 Cello	23.762697219848633	na
Tuba	 Posaune	25.07830047607422	na
Keyboard	 Flöte	39.23536682128906	na
Telefon	 Kamm	22.868242263793945	na
Keyboard	 Karaffe	27.565902709960938	na
Handy	 Loeffel	26.131853103637695	na
Saxophon	 Trommel	29.09307861328125	na
Pferd	 Harfe	25.993539810180664	na
Dynamit	 Küken	23.590490341186523	na
Säugling	 Geläut	40.630985260009766	na
Akkordeon	 Pille	24.60280418395996	na
Trompete	 Lüftung	52.11701202392578	na
Handy	 Gebläse	48.66828155517578	na
Trommel	 Paket	13.473023414611816	na
Kontrabass	 Wasserfall	24.584163665771484	na
Flinte	 Floete	26.323396682739258	na
Foen	 Turbine	25.57754135131836	na
Tröte	 Alge	23.452184677124023	na
Mikrofon	 Geroell	25.243532180786133	na
Kanone	 Floete	28.74613380432129	na
Cembalo	 Gelaeut	54.37564468383789	na
Kontrabass	 Denkmal	21.47780990600586	na
Tröte	 Hummel	26.534263610839844	na
Gitarre	 Schimpanse	45.40754318237305	na
Geige	 Pinzette	28.514904022216797	na
Flöte	 Baer	21.18152618408203	na
Revolver	 Keyboard	7.13602876663208	na
Auto	 Pfeiler	34.04203796386719	na
Klavier	 Milbe	24.24308967590332	na
Klavier	 Chamäleon	58.224857330322266	na
Knarre	 Baby	7.344587326049805	na
Troete	 Knarre	36.13650131225586	na
Mofa	 Floh	25.62128448486328	na
Saege	 Kraehe	27.078577041625977	na
Cello	 Satellit	24.20990753173828	na
Cello	 Geschütz	23.26571273803711	na
Granate	 Haecksler	44.564537048339844	na
Gong	 Cello	21.519872665405273	na
Floete	 Mikrofon	29.471921920776367	na
Haecksler	 Lawine	23.306406021118164	na
Akkordeon	 Ahorn	14.861152648925781	na
Häcksler	 Skorpion	26.954374313354492	na
Geschütz	 Löwe	26.644886016845703	na
Auto	 Palme	22.855392456054688	na
Trommel	 Serviette	32.867958068847656	na
Säge	 Wellensittich	63.143707275390625	na
Häcksler	 Gecko	28.088241577148438	na
Säge	 Ziege	31.699596405029297	na
Bohrer	 Schimpanse	35.67424011230469	na
Gitarre	 Triangel	26.109769821166992	na
Gewehr	 Triangel	27.1839542388916	na
Telefon	 Pistole	25.229900360107422	na
Geige	 Känguruh	49.107357025146484	na
Schlagzeug	 Giraffe	35.498634338378906	na
Kontrabass	 Schal	7.940774440765381	na
Flinte	 Bohrer	29.632658004760742	na
Saeugling	 Abbildung	29.16119384765625	na
Fön	 Logo	6.764513969421387	na
Mikrofon	 Auspuff	44.314125061035156	na
Harfe	 Flinte	20.33424949645996	na
Bohrer	 Bumerang	47.094573974609375	na
Gong	 Hummel	27.111146926879883	na
Schlagzeug	 Pille	28.408878326416016	na
Fagott	 Otter	26.655141830444336	na
Klarinette	 Lüftung	46.836524963378906	na
Knarre	 Gitarre	21.58945655822754	na
Granate	 Waffel	28.474105834960938	na
Moped	 Rabe	22.104829788208008	na
Flinte	 Buche	22.44189453125	na
Saeugling	 Lanze	24.13025665283203	na
Cello	 Foen	23.067216873168945	na
Flöte	 Waßerfall	50.499629974365234	na
Handy	 Revolver	26.234272003173828	na
Häcksler	 Tanne	30.951658248901367	na
Pistole	 Zigarette	24.62036895751953	na
Bohrer	 Zwiebel	34.77876663208008	na
Trompete	 Krähe	41.83516311645508	na
Raßel	 Hemd	32.9947624206543	na
Boeller	 Böller	34.473140716552734	na
Tröte	 Pfosten	33.445560455322266	na
Pferd	 Gorilla	26.00962257385254	na
Geschütz	 Zigarette	27.651010513305664	na
Tröte	 Floete	27.046619415283203	na
Trompete	 Tuba	21.37824821472168	na
Xylophon	 Ziege	25.161863327026367	na
Knarre	 Löwe	22.919145584106445	na
Mixer	 Maske	19.06559944152832	na
Boeller	 Affe	16.190265655517578	na
Säge	 Boeller	32.52959442138672	na
Mixer	 Klavier	22.276714324951172	na
Geschuetz	 Elch	21.217248916625977	na
Foen	 Uhu	22.559274673461914	na
Böller	 Geige	27.251832962036133	na
Klarinette	 Saeule	36.47963333129883	na
Akkordeon	 Pfeiler	40.85850524902344	na
Pistole	 Baer	25.55782127380371	na
Posaune	 Telefon	8.633373260498047	na
Cello	 Waffel	25.65493392944336	na
Dynamit	 Tablett	22.193910598754883	na
Flinte	 Fön	27.5496826171875	na
Tuba	 Kruecke	27.272579193115234	na
Kanone	 Oktopus	31.67466926574707	na
Knarre	 Alge	21.199552536010742	na
Geschuetz	 Bohrer	33.93963623046875	na
Pistole	 Dynamit	31.983186721801758	na
Posaune	 Lupe	29.804668426513672	na
Ukulele	 Wasserfall	25.718074798583984	na
Häcksler	 Salamander	29.576013565063477	na
Dusche	 Handy	5.933988094329834	na
Saeugling	 Säule	29.26708221435547	na
Troete	 Kröte	37.976524353027344	na
Akkordeon	 Flöte	46.37686538696289	na
Cello	 Buche	20.85589027404785	na
Gitarre	 Perücke	31.37097930908203	na
Moped	 Balken	23.08819580078125	na
Mofa	 Posaune	25.163175582885742	na
Flöte	 Pavian	20.852039337158203	na
Troete	 Hornisse	26.304777145385742	na
Gong	 Kleber	26.610363006591797	na
Cello	 Baer	22.856199264526367	na
Saeugling	 Logo	7.473787307739258	na
Geschütz	 Karaffe	28.56791877746582	na
Bohrer	 Cello	21.50275993347168	na
Trompete	 Schraube	51.30167007446289	na
Klavier	 Margerite	38.72041320800781	na
Telefon	 Akkordeon	48.949851989746094	na
Geschuetz	 Geschuetz	62.208927154541016	na
Cembalo	 Kapuze	24.66643714904785	na
Boeller	 Tablett	20.62361717224121	na
Dynamit	 Ferkel	24.36223602294922	na
Trompete	 Handy	7.126388072967529	na
Boeller	 Eiche	24.392189025878906	na
Triangel	 Xylophon	61.42744445800781	na
Haecksler	 Biber	24.00454330444336	na
Haecksler	 Amsel	24.428749084472656	na
Saege	 Eiche	23.82697296142578	na
Auto	 Mikroskop	20.234180450439453	na
Klavier	 Raupe	24.518802642822266	na
Saeugling	 Skizze	24.410255432128906	na
Posaune	 Rotor	23.218957901000977	na
Saeugling	 Spritze	32.08129119873047	na
Fön	 Kuvert	30.95276641845703	na
Auto	 Schlagzeug	15.974923133850098	na
Cembalo	 Kueken	23.60150718688965	na
Posaune	 Kaenguruh	35.24065017700195	na
Tröte	 Nelke	27.519641876220703	na
Flöte	 Handy	6.4202775955200195	na
Baby	 Skulptur	41.51054382324219	na
Harfe	 Spinne	25.694520950317383	na
Haecksler	 Turbine	26.392913818359375	na
Foen	 Wellensittich	54.941673278808594	na
Gong	 Möwe	21.754240036010742	na
Haecksler	 Tornado	28.097524642944336	na
Boeller	 Dusche	22.63345718383789	na
Kontrabass	 Kaefer	36.384761810302734	na
Saeugling	 Lüftung	48.062198638916016	na
Geige	 Rabe	23.351518630981445	na
Dusche	 Skulptur	48.94038009643555	na
Fagott	 Zigarette	26.983949661254883	na
Xylophon	 Saege	19.554731369018555	na
Foen	 Fluß	28.154685974121094	na
Triangel	 Kuchen	17.220109939575195	na
Kontrabass	 Hornisse	24.22553062438965	na
Peitsche	 Antilope	25.97109603881836	na
Knarre	 Frosch	21.348262786865234	na
Böller	 Rochen	22.659215927124023	na
Geschuetz	 Fagott	25.82408905029297	na
Haecksler	 Margerite	39.499122619628906	na
Geschütz	 Mofa	23.8526554107666	na
Säugling	 Fagott	23.52581787109375	na
Fön	 Lautsprecher	42.04621124267578	na
Geige	 Geschütz	26.995370864868164	na
Klarinette	 Pinzette	28.99021339416504	na
Handy	 Waßerfall	45.7174186706543	na
Saxophon	 Spaten	23.58222770690918	na
Cembalo	 Wasserfall	24.074007034301758	na
Raßel	 Lüftung	46.71845626831055	na
Gewehr	 Specht	32.15003967285156	na
Saxophon	 Krawatte	37.79884338378906	na
Saeugling	 Pavian	26.797395706176758	na
Triangel	 Flöte	39.055564880371094	na
Rakete	 Fagott	24.23297119140625	na
Saege	 Käfer	29.010046005249023	na
Harfe	 Trommel	26.802227020263672	na
Triangel	 Trommel	25.550209045410156	na
Geschütz	 Bach	9.671614646911621	na
Häcksler	 Bohrer	32.145442962646484	na
Klarinette	 Triangel	24.671144485473633	na
Harfe	 Pistole	24.26949691772461	na
Saeugling	 Auto	9.013599395751953	na
Pferd	 Bär	24.56856918334961	na
Triangel	 Balken	23.304887771606445	na
Harfe	 Pferd	8.467397689819336	na
Mikrofon	 Pinsel	25.5327205657959	na
Kontrabaß	 Loeffel	29.42035675048828	na
Akkordeon	 Geroell	25.78282356262207	na
Saeugling	 Flöte	39.12407684326172	na
Gong	 Mikroskop	22.265640258789062	na
Baby	 Tandem	28.047155380249023	na
Fagott	 Kartoffel	26.116825103759766	na
Gitarre	 Pille	24.689937591552734	na
Trommel	 Geläut	47.032997131347656	na
Triangel	 Elefant	23.8343505859375	na
Kontrabass	 Cembalo	25.085050582885742	na
Moped	 Pferd	7.1018900871276855	na
Moped	 Wasserfall	24.8120059967041	na
Telefon	 Pullover	24.42914581298828	na
Flinte	 Tröte	37.1359748840332	na
Saxophon	 Fundament	10.80446720123291	na
Xylophon	 Mixer	26.083175659179688	na
Gitarre	 Mikroskop	19.145252227783203	na
Akkordeon	 Oktopus	32.87164306640625	na
Flöte	 Sirene	29.396800994873047	na
Trommel	 Qualle	25.98255157470703	na
Raßel	 Henne	13.502484321594238	na
Akkordeon	 Klarinette	55.613868713378906	na
Haecksler	 Klavier	22.74652099609375	na
